roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p07_r0202,44,52,20,28,1.0,3.1438603476624237e-06,0.022759677890906955
sio2 all 20 dish white_p07_r0203,44,52,24,32,1.0,3.0073006474224597e-06,0.02248458434588704
sio2 all 20 dish white_p07_r0204,44,52,28,36,1.0,2.5270566860904052e-06,0.021829615346038413
sio2 all 20 dish white_p07_r0205,44,52,32,40,1.0,2.1503524901433917e-06,0.021516357678402476
sio2 all 20 dish white_p07_r0206,44,52,36,44,1.0,2.3588226206008272e-06,0.021212772225493576
sio2 all 20 dish white_p07_r0207,44,52,40,48,1.0,2.2443166541117075e-06,0.020572835210623558
sio2 all 20 dish white_p07_r0208,44,52,44,52,1.0,2.223119831117598e-06,0.020125958244606657
sio2 all 20 dish white_p07_r0209,44,52,48,56,1.0,2.4721467409174186e-06,0.020112625196155212
sio2 all 20 dish white_p07_r0210,44,52,52,60,1.0,2.561539750602724e-06,0.01991781013602585
sio2 all 20 dish white_p07_r0211,44,52,56,64,1.0,2.278666798408899e-06,0.01947626968818461
sio2 all 20 dish white_p07_r0212,44,52,60,68,1.0,2.1855393270434394e-06,0.019476896418820333
sio2 all 20 dish white_p07_r0213,44,52,64,72,1.0,2.2876152036803285e-06,0.019854563255328545
sio2 all 20 dish white_p07_r0214,44,52,68,76,1.0,1.921421344610075e-06,0.020038667830181347
sio2 all 20 dish white_p07_r0215,44,52,72,80,1.0,2.005531599003054e-06,0.020197007988685844
sio2 all 20 dish white_p07_r0216,48,56,8,16,1.0,3.0364643747940174e-06,0.026304982703730363
sio2 all 20 dish white_p07_r0217,48,56,12,20,1.0,2.3673347245179233e-06,0.025954113424670494
sio2 all 20 dish white_p07_r0218,48,56,16,24,1.0,3.5851847047844702e-06,0.024805878042385092
sio2 all 20 dish white_p07_r0219,48,56,20,28,1.0,2.4971228434911382e-06,0.023816829556914113
sio2 all 20 dish white_p07_r0220,48,56,24,32,1.0,2.360402989991178e-06,0.023178219773167367
sio2 all 20 dish white_p07_r0221,48,56,28,36,1.0,1.9665087436436343e-06,0.02219939508198352
sio2 all 20 dish white_p07_r0222,48,56,32,40,1.0,1.451167514581235e-06,0.021879762884032903
sio2 all 20 dish white_p07_r0223,48,56,36,44,1.0,1.5784824264532221e-06,0.021673314848719892
sio2 all 20 dish white_p07_r0224,48,56,40,48,1.0,1.6350613058616866e-06,0.021078342504797943
sio2 all 20 dish white_p07_r0225,48,56,44,52,1.0,1.3875767424179764e-06,0.020637619076271405
sio2 all 20 dish white_p07_r0226,48,56,48,56,1.0,1.7155816538967432e-06,0.02072927156517071
sio2 all 20 dish white_p07_r0227,48,56,52,60,1.0,1.8885884206713424e-06,0.020648661549031787
sio2 all 20 dish white_p07_r0228,48,56,56,64,1.0,1.7834360819856491e-06,0.020160387180465644
