roi_id,specimen,material,split,score_iforest
sio2 all 20 dish white_p01_r0257,sio2 all 20 dish white_p01,sio2,train,0.43627342430637034
sio2 all 20 dish white_p01_r0258,sio2 all 20 dish white_p01,sio2,train,0.4455678945629595
sio2 all 20 dish white_p01_r0259,sio2 all 20 dish white_p01,sio2,train,0.44883764723870473
sio2 all 20 dish white_p01_r0260,sio2 all 20 dish white_p01,sio2,train,0.45965914621694876
sio2 all 20 dish white_p01_r0261,sio2 all 20 dish white_p01,sio2,train,0.44412000253938316
sio2 all 20 dish white_p01_r0262,sio2 all 20 dish white_p01,sio2,train,0.46441564808676344
sio2 all 20 dish white_p01_r0263,sio2 all 20 dish white_p01,sio2,train,0.46096871778255905
sio2 all 20 dish white_p01_r0264,sio2 all 20 dish white_p01,sio2,train,0.45177374497076106
sio2 all 20 dish white_p01_r0265,sio2 all 20 dish white_p01,sio2,train,0.46715948976902644
sio2 all 20 dish white_p01_r0266,sio2 all 20 dish white_p01,sio2,train,0.4582652159647692
sio2 all 20 dish white_p01_r0267,sio2 all 20 dish white_p01,sio2,train,0.45287610243874793
sio2 all 20 dish white_p01_r0268,sio2 all 20 dish white_p01,sio2,train,0.42436732097061614
sio2 all 20 dish white_p01_r0269,sio2 all 20 dish white_p01,sio2,train,0.4079286035220215
sio2 all 20 dish white_p01_r0270,sio2 all 20 dish white_p01,sio2,train,0.4096865021856405
sio2 all 20 dish white_p01_r0271,sio2 all 20 dish white_p01,sio2,train,0.415417196266188
sio2 all 20 dish white_p01_r0272,sio2 all 20 dish white_p01,sio2,train,0.46548391715367615
sio2 all 20 dish white_p01_r0273,sio2 all 20 dish white_p01,sio2,train,0.4133936826476554
sio2 all 20 dish white_p01_r0274,sio2 all 20 dish white_p01,sio2,train,0.42010278187305033
sio2 all 20 dish white_p01_r0275,sio2 all 20 dish white_p01,sio2,train,0.4204382635109838
sio2 all 20 dish white_p01_r0276,sio2 all 20 dish white_p01,sio2,train,0.4170571134364427
sio2 all 20 dish white_p01_r0277,sio2 all 20 dish white_p01,sio2,train,0.4424276643783715
sio2 all 20 dish white_p01_r0278,sio2 all 20 dish white_p01,sio2,train,0.45534546913938045
sio2 all 20 dish white_p01_r0279,sio2 all 20 dish white_p01,sio2,train,0.4732432379183863
sio2 all 20 dish white_p01_r0280,sio2 all 20 dish white_p01,sio2,train,0.511568468607336
sio2 all 20 dish white_p01_r0281,sio2 all 20 dish white_p01,sio2,train,0.5082522978355171
sio2 all 20 dish white_p01_r0282,sio2 all 20 dish white_p01,sio2,train,0.5168064179112862
sio2 all 20 dish white_p01_r0283,sio2 all 20 dish white_p01,sio2,train,0.5533038062484519
sio2 all 20 dish white_p01_r0284,sio2 all 20 dish white_p01,sio2,train,0.5622025626224351
